username,date,action
user002@domain.org,"2023-02-01 17:46:13","Benutzer wurder gesperrt wegen zu vieler Fehlversuche beim Login"
user001@domain.org,"2023-11-09 16:16:12","Successful login"
user001@domain.org,"2023-11-09 16:16:29","Failed login attempt"
user001@domain.org,"2023-11-09 16:19:01","Failed login attempt"
user001@domain.org,"2023-11-09 16:19:46","Failed login attempt"
ramicheikhrouhou670@gmail.com,"2023-11-09 16:23:29","Failed login attempt"
r.cheikrouhou@investal24.de,"2023-11-09 18:22:33","Failed login attempt"
r.cheikrouhou@investal24.de,"2023-11-09 18:24:56","User does not exist"
user001@domain.org,"2023-11-09 18:30:37","Successful login"
user001@domain.org,"2023-11-09 18:31:11","Successful login"
user001@domain.org,"2023-11-09 18:31:19","Successful login"
user001@domain.org,"2023-11-09 18:44:11","Failed login attempt"
user001@domain.org,"2023-11-09 18:44:27","Failed login attempt"
user001@domain.org,"2023-11-09 18:44:42","Successful login"
user002@domain.org,"2023-11-09 18:45:14","Blocked user attempted to login"
user002@domain.org,"2023-11-09 18:45:42","Blocked user attempted to login"
user002@domain.org,"2023-11-09 18:45:58","Successful login"
r.cheikrouhou@investal24.de,"2023-11-09 20:22:42","User does not exist"
user001@domain.org,"2023-11-09 22:39:45","Successful login"
user001@domain.org,"2023-11-09 22:40:09","Successful login"
ramicheikhrouhou670@gmail.com,"2023-11-09 23:05:37","User does not exist"
ramicheikhrouhou670@gmail.com,"2023-11-09 23:07:51","User does not exist"
ramicheikhrouhou670@gmail.com,"2023-11-09 23:07:58","User does not exist"
ramicheikhrouhou670@gmail.com,"2023-11-09 23:09:32","User does not exist"
ramicheikhrouhou670@gmail.com,"2023-11-09 23:10:11","User does not exist"
user002@domain.org,"2023-11-09 23:10:21","Failed login attempt"
user002@domain.org,"2023-11-09 23:11:24","Failed login attempt"
user002@domain.org,"2023-11-09 23:11:34","Failed login attempt"
user002@domain.org,"2023-11-09 23:11:41","Failed login attempt"
user002@domain.org,"2023-11-09 23:11:51","Failed login attempt"
user002@domain.org,"2023-11-09 23:12:06","Successful login"
user001@domain.org,"2023-11-09 23:12:32","Successful login"
user002@domain.org,"2023-11-09 23:12:40","Successful login"
user002@domain.org,"2023-11-09 23:12:48","Successful login"
user001@domain.org,"2023-11-09 23:25:55","Failed login attempt"
user001@domain.org,"2023-11-09 23:27:44","Failed login attempt"
user001@domain.org,"2023-11-09 23:27:58","Failed login attempt"
user001@domain.org,"2023-11-09 23:28:02","Failed login attempt"
user001@domain.org,"2023-11-09 23:28:25","Failed login attempt"
user001@domain.org,"2023-11-09 23:28:44","Blocked user attempted to login"
user001@domain.org,"2023-11-09 23:29:12","Failed login attempt"
user001@domain.org,"2023-11-09 23:31:18","Failed login attempt"
user001@domain.org,"2023-11-09 23:31:24","Failed login attempt"
user001@domain.org,"2023-11-09 23:31:28","Failed login attempt"
user001@domain.org,"2023-11-09 23:48:50","Failed login attempt"
user001@domain.org,"2023-11-09 23:50:47","Blocked user attempted to login"
user001@domain.org,"2023-11-09 23:51:11","Failed login attempt"
user001@domain.org,"2023-11-09 23:51:18","Failed login attempt"
user001@domain.org,"2023-11-09 23:51:27","Failed login attempt"
user001@domain.org,"2023-11-09 23:51:39","Blocked user attempted to login"
user002@domain.org,"2023-11-09 23:51:49","Successful login"
user002@domain.org,"2023-11-09 23:52:00","Successful login"
user001@domain.org,"2023-11-09 23:52:10","Blocked user attempted to login"
user001@domain.org,"2023-11-09 23:52:32","Failed login attempt"
user001@domain.org,"2023-11-09 23:52:39","Successful login"
r.cheikrouhou@investal24.de,"2023-11-09 23:52:48","User does not exist"
r.cheikrouhou@investal24.de,"2023-11-09 23:53:10","User does not exist"
r.cheikrouhou@investal24.de,"2023-11-09 23:53:16","User does not exist"
r.cheikrouhou@investal24.de,"2023-11-09 23:53:21","User does not exist"
